ID,MatchNumber,ScoutName,Auto_Leave,Auto_Coral_L1,Auto_Coral_L2,Auto_Coral_L3,Auto_Coral_L4,Tele_Coral_L1,Tele_Coral_L2,Tele_Coral_L3,Tele_Coral_L4,Tele_Processor,Tele_Barge,Endgame_Parked,Endgame_Shallow_Cage,Endgame_Deep_Cage,Comments,Last Modified
,5,DAB,1.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,5.00,0.00,0.00,0.00,0.00,1.00,"Got stuttery movement toward end, missed a few",3/15/2025 9:22pm
,9,keith,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:26pm
,14,keith,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,"Auto went wrong way, coral got stuck, played def before getting stuck on algae",3/15/2025 9:26pm
,17,Bailey,1.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,3.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:18pm
,21,Zander,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,4.00,0.00,0.00,0.00,0.00,1.00,I counted 5 missed shots in addition to the successful ones. ,3/15/2025 9:28pm
,27,terri,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,1.00,,3/15/2025 9:26pm
,34,Amber,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,1.00,,3/15/2025 9:24pm
,40,James,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,1.00,Good,3/15/2025 9:27pm
,43,Ian,1.00,0.00,0.00,0.00,1.00,0.00,3.00,3.00,2.00,0.00,0.00,0.00,0.00,1.00,Missed coral on the reef multiple times throughout teleop. Missed two coral in auto. Dislodged algae.,3/15/2025 9:32pm
,3,DAB,1.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,2.00,0.00,0.00,0.00,1.00,Can pick from the floor. Can dislodge algae. great bot!,3/15/2025 9:22pm
,10,scott,1.00,0.00,0.00,0.00,3.00,5.00,0.00,1.00,3.00,0.00,0.00,0.00,0.00,1.00,dropped some coral for level 1,3/15/2025 9:20pm
,14,Zander,1.00,0.00,0.00,0.00,2.00,6.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,1.00,,3/15/2025 9:28pm
,18,DAB,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Tech problems, still great bot!",3/15/2025 9:22pm
,25,terri,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,1.00,,3/15/2025 9:26pm
,28,Zander,1.00,0.00,0.00,0.00,2.00,0.00,5.00,3.00,2.00,2.00,0.00,0.00,0.00,1.00,,3/15/2025 9:28pm
,32,Ian,1.00,0.00,0.00,0.00,3.00,6.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,1.00,Can pick from the floor. Can dislodge algae. ,3/15/2025 9:32pm
,39,Ian,0.00,0.00,0.00,0.00,0.00,0.00,2.00,4.00,5.00,0.00,1.00,0.00,0.00,1.00,Did not score during auto and nearly tipped over before a-stop was pressed. But still the best team!,3/15/2025 9:22pm
,1,james,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,1.00,Can't pick from the floor.  miss,3/15/2025 9:24pm
,6,Zander,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,Dropped a coral in the robot toward the end of the match. seemed to have some struggles scoring before that,3/15/2025 9:28pm
,13,Zander,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,7.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:28pm
,16,pBailet,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,1.00,,3/15/2025 9:18pm
,21,terri,1.00,0.00,1.00,0.00,0.00,0.00,3.00,2.00,2.00,0.00,0.00,0.00,0.00,1.00,Missed some coral level 4's,3/15/2025 9:26pm
,29,Zander,1.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,2.00,0.00,0.00,0.00,0.00,1.00,They struggle a little bit with lining up coral to the reef when scoring but still score pretty good,3/15/2025 9:28pm
,32,jeanette,1.00,0.00,0.00,0.00,0.00,4.00,3.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,Can pick from the floor. ,3/15/2025 9:20pm
,37,Ian,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,6.00,0.00,0.00,1.00,0.00,0.00,"Can't pick from the floor. Did not grab algae in this match; it might not be able. Missed scoring coral twice. Tried climbing the deep cage at the end, but it did not have enough time, although it started lifting itself with around half a second left",3/15/2025 9:22pm
,4,Terri,1.00,0.00,0.00,0.00,1.00,1.00,3.00,2.00,1.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:18pm
,7,james,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,3.00,0.00,0.00,0.00,0.00,1.00,Missed a few,3/15/2025 9:24pm
,16,DAB,1.00,1.00,0.00,0.00,1.00,0.00,0.00,4.00,5.00,0.00,0.00,0.00,0.00,1.00,,3/15/2025 9:22pm
,18,jeanette,1.00,0.00,0.00,0.00,2.00,5.00,4.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,"Can move algae while holding coral, did a good job",3/15/2025 9:20pm
,22,Zander,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,Very wobbly elevator. isn't great in auto and only sorta works in teleop. ,3/15/2025 9:28pm
,26,terri,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:26pm
,31,terri,1.00,0.00,0.00,0.00,0.00,1.00,0.00,3.00,4.00,0.00,0.00,0.00,0.00,1.00,,3/15/2025 9:26pm
,33,Zander,1.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:28pm
,41,Ian,0.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,1.00,Dislodged two algae. Did not pick anything up from the floor. ,3/15/2025 9:22pm
,1,keith,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"Can dislodge algae, but not well. Started their coral in a way that it was stuck in them all game. Attempted shallow climb.",3/15/2025 9:26pm
,8,james,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Nothing but remove balls,3/15/2025 9:24pm
,15,Jean,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"No auto

can't control their coral arm or drive well.

",3/15/2025 9:18pm
,19,DAB,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"Knocks algae out, then did defense.",3/15/2025 9:22pm
,25,DAB,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,Played defense,3/15/2025 9:18pm
,25,Jean,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,Did some defensd.,3/15/2025 9:22pm
,43,Zander,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Can dislodge algae. ,3/15/2025 9:28pm
,2,Zander,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,Got a coral stuck in the bottom of their robot and couldn't do much,3/15/2025 9:28pm
,6,DAB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,Tippy when arm extended.  got coral stuck in robot.,3/15/2025 9:22pm
,12,Zander,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,Moved backward in auto. then got a coral stuck in them and played defense. ,3/15/2025 9:28pm
,17,jeanette,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,Can't pick from the floor. Not very good,3/15/2025 9:20pm
,25,scott,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2nd defender?,3/15/2025 9:20pm
,28,scott,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defence after dropping one coral,3/15/2025 9:20pm
,31,Joyce,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,,3/15/2025 9:24pm
,37,DAB,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,"Got caught on algae, then had trouble scoring",3/15/2025 9:18pm
,2,keith,1.00,0.00,0.00,0.00,0.00,0.00,2.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,Can dislodge algae. Tank. ,3/15/2025 9:26pm
,10,Zander,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,,3/15/2025 9:28pm
,15,james,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,Still can't see,3/15/2025 9:24pm
,18,Zander,1.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:28pm
,22,terri,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,Tipped over with 30 sec remaining,3/15/2025 9:26pm
,27,scott,1.00,0.00,0.00,0.00,0.00,3.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:20pm
,38,Zander,0.00,0.00,0.00,1.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,,3/15/2025 9:28pm
,42,Ian,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00,0.00,0.00,Only moved forward slightly during auto. Dislodged algae.,3/15/2025 9:22pm
,2,Terri,1.00,0.00,0.00,0.00,0.00,2.00,3.00,2.00,1.00,0.00,0.00,1.00,0.00,0.00,Could release algae.,3/15/2025 9:18pm
,9,Terri,1.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,3.00,2.00,0.00,0.00,0.00,0.00,Missed upper level in auto. no park,3/15/2025 9:18pm
,12,keith,1.00,0.00,0.00,0.00,0.00,1.00,4.00,5.00,1.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:26pm
,16,keith,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,Can dislodge algae. Seemed like their coral intake wasn't working.,3/15/2025 9:26pm
,21,Joyce,0.00,0.00,0.00,0.00,1.00,0.00,4.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,,3/15/2025 9:24pm
,26,scott,1.00,0.00,0.00,0.00,1.00,0.00,3.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,Died mid match,3/15/2025 9:20pm
,31,Ian,0.00,0.00,0.00,0.00,1.00,0.00,5.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,Can't pick from the floor. Can dislodge algae. ,3/15/2025 9:22pm
,40,DAB,1.00,0.00,0.00,0.00,0.00,1.00,2.00,1.00,6.00,0.00,0.00,0.00,0.00,0.00,,3/15/2025 9:18pm
,43,jeanette,1.00,0.00,0.00,0.00,0.00,6.00,1.00,1.00,2.00,0.00,0.00,1.00,0.00,0.00,there best place for coral is 1 level,3/15/2025 9:21pm
,5,scott,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,6.00,0.00,0.00,1.00,0.00,0.00,Climbed but dropped,3/15/2025 9:20pm
,8,keith,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:26pm
,11,Zander,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,5.00,0.00,0.00,0.00,0.00,1.00,,3/15/2025 9:28pm
,18,Bailey,1.00,0.00,0.00,0.00,0.00,1.00,2.00,4.00,1.00,0.00,0.00,0.00,1.00,0.00,,3/15/2025 9:18pm
,5,keith,1.00,1.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,1.00,0.00,0.00,Can dislodge algae. ,3/15/2025 9:26pm
,10,DAB,1.00,0.00,0.00,0.00,0.00,0.00,4.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:22pm
,15,Zander,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,Got a coral stuck inside. scored algae instead,3/15/2025 9:28pm
,19,jeanette,1.00,0.00,0.00,0.00,0.00,2.00,3.00,4.00,0.00,2.00,0.00,0.00,0.00,0.00,"Can not score in 4, they are so so",3/15/2025 9:20pm
,23,jeanette,1.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,Can dislodge algae. Other then that no,3/15/2025 9:20pm
,26,Zander,1.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,2.00,2.00,0.00,1.00,0.00,0.00,,3/15/2025 9:28pm
,32,Amber,1.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,,3/15/2025 9:24pm
,40,Ian,0.00,0.00,0.00,0.00,0.00,0.00,2.00,4.00,1.00,0.00,0.00,0.00,0.00,1.00,"Only moved forward during auto. Scored on levels two through four in teleop. Climbed the deep cage at the end, but potentially dipped too low.",3/15/2025 9:22pm
,44,scott,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,2.00,0.00,0.00,0.00,0.00,,3/15/2025 9:28pm
,4,james,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,Idk,3/15/2025 9:24pm
,8,Terri,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,1.00,0.00,0.00,,3/15/2025 9:18pm
,15,keith,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,1.00,0.00,0.00,,3/15/2025 9:26pm
,20,Zander,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,1.00,0.00,0.00,Focused exclusively on scoring algae for the coop bonus,3/15/2025 9:28pm
,25,Joyce,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,2.00,0.00,0.00,0.00,Can dislodge algae. Score in barge. Can pick from the floor. Can score coral.,3/15/2025 9:24pm
,28,keith,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,1.00,0.00,0.00,,3/15/2025 9:22pm
,35,jeanette,1.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,1.00,1.00,0.00,1.00,0.00,0.00,Can dislodge algae. ,3/15/2025 9:20pm
,44,Ian,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,1.00,0.00,0.00,"Can dislodge and score algae. Can also score coral, although it struggled a little and switched to processing algae.",3/15/2025 9:22pm
,1,jeanette,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,4.00,2.00,0.00,1.00,0.00,0.00,missed first algae in processor,3/15/2025 9:20pm
,6,keith,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:26pm
,11,james,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,1.00,,3/15/2025 9:24pm
,20,Joyce,1.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:24pm
,26,DAB,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,6.00,0.00,1.00,0.00,0.00,Had trouble getting coral,3/15/2025 9:18pm
,26,Jean,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,6.00,0.00,1.00,0.00,0.00,Issues accepting coral from human player.  It has to go straight in. No sideways tilt or it cant be accepted.,3/15/2025 9:22pm
,34,Ian,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,Did not park or climb in the endgame. No algae was scored or dislodged. Exclusively level four coral for this round.,3/15/2025 9:22pm
,37,Amber,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,1.00,0.00,0.00,,3/15/2025 9:24pm
,37,Zander,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,,3/15/2025 9:28pm
,41,jeanette,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,1.00,0.00,1.00,0.00,0.00,Can dislodge algae. ,3/15/2025 9:21pm
,1,DAB,1.00,0.00,0.00,0.00,0.00,1.00,5.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,"Steady, can do top three levels.",3/15/2025 9:22pm
,7,keith,1.00,0.00,0.00,0.00,1.00,0.00,4.00,4.00,1.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:26pm
,11,scott,1.00,0.00,0.00,0.00,1.00,0.00,5.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,Good coral,3/15/2025 9:20pm
,17,DAB,1.00,0.00,0.00,0.00,1.00,0.00,0.00,4.00,3.00,0.00,0.00,1.00,0.00,0.00,Good steady scorer.,3/15/2025 9:22pm
,22,Bailey,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,4.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:18pm
,22,Jean,1.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,4.00,0.00,0.00,0.00,0.00,0.00,,3/15/2025 9:22pm
,29,Jean,1.00,0.00,0.00,0.00,1.00,0.00,2.00,3.00,4.00,0.00,0.00,0.00,0.00,0.00,"removed one algae during autonomous.

kept going after points and didn't try to park/climb.",3/15/2025 9:22pm
,43,DAB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Sorry forgot to do, traumatized.",3/15/2025 9:18pm
,2,DAB,1.00,0.00,0.00,0.00,2.00,0.00,5.00,4.00,2.00,0.00,0.00,0.00,0.00,1.00,Can score top 3 levels,3/15/2025 9:22pm
,10,james,1.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,8.00,0.00,0.00,0.00,0.00,1.00,Human player got penalty s,3/15/2025 9:24pm
,14,james,0.00,0.00,0.00,0.00,1.00,0.00,1.00,4.00,2.00,0.00,0.00,0.00,0.00,1.00,It may not be accurate could not see MB,3/15/2025 9:24pm
,17,Zander,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Elevator got stuck in the up position. ,3/15/2025 9:28pm
,21,jeanette,1.00,0.00,0.00,0.00,1.00,0.00,0.00,4.00,3.00,0.00,0.00,1.00,0.00,0.00,Very fast ,3/15/2025 9:20pm
,30,DAB,1.00,1.00,0.00,0.00,1.00,0.00,0.00,3.00,8.00,0.00,0.00,0.00,0.00,1.00,,3/15/2025 9:18pm
,35,DAB,1.00,1.00,0.00,0.00,2.00,0.00,3.00,2.00,5.00,0.00,0.00,0.00,0.00,1.00,Can pull algae out,3/15/2025 9:18pm
,38,jeanette,0.00,0.00,0.00,0.00,3.00,1.00,0.00,2.00,6.00,0.00,0.00,0.00,0.00,1.00,They are good very fast,3/15/2025 9:20pm
,1,Zander,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Struggles with intake. coral gets stuck VERY easily if put in slightly wrong. ,3/15/2025 9:28pm
,6,Terri,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,Ratcheting sound from machine,3/15/2025 9:18pm
,14,Jean,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"came late.
bumper came off beginning of tele-op. DON'T PICK! ",3/15/2025 9:18pm
,17,james,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Gets Carl stuck,3/15/2025 9:24pm
,22,jeanette,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Can't pick from the floor. did not score well at all do not want.,3/15/2025 9:20pm
,26,Joyce,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Never moved. ,3/15/2025 9:24pm
,35,Jean,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,"stopped working during last minute. orange light blinking, but robot didn't move.",3/15/2025 9:26pm
,39,James,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Lost a bumber,3/15/2025 9:27pm
,42,jeanette,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,Keep dropping coral then went to defence then came back to score on the 3 level,3/15/2025 9:21pm
,5,james,1.00,0.00,1.00,0.00,1.00,0.00,0.00,2.00,9.00,1.00,0.00,0.00,0.00,1.00,Good did everything but pick up from the floor ,3/15/2025 9:24pm
,9,Zander,1.00,0.00,0.00,0.00,2.00,0.00,1.00,5.00,2.00,2.00,0.00,0.00,0.00,1.00,Fast and efficient. had a little mishap getting coral stuck inside but got it out quick,3/15/2025 9:28pm
,12,james,1.00,0.00,0.00,0.00,2.00,0.00,1.00,1.00,6.00,0.00,0.00,0.00,0.00,1.00,Can dislodge algae.  good do everything but floor,3/15/2025 9:24pm
