ID,MatchNumber,ScoutName,Auto_Leave,Auto_Coral_L1,Auto_Coral_L2,Auto_Coral_L3,Auto_Coral_L4,Tele_Coral_L1,Tele_Coral_L2,Tele_Coral_L3,Tele_Coral_L4,Tele_Processor,Tele_Barge,Endgame_Parked,Endgame_Shallow_Cage,Endgame_Deep_Cage,Comments,Last Modified
,17,DAB,1.00,0.00,0.00,0.00,3.00,0.00,6.00,4.00,2.00,2.00,0.00,0.00,0.00,1.00,,3/15/2025 9:22pm
,21,Bailey,1.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,3.00,1.00,0.00,0.00,0.00,1.00,,3/15/2025 9:18pm
,21,Jean,1.00,0.00,0.00,0.00,3.00,1.00,3.00,4.00,5.00,2.00,0.00,0.00,0.00,1.00,,3/15/2025 9:22pm
,28,DAB,1.00,0.00,0.00,0.00,2.00,0.00,3.00,4.00,4.00,1.00,0.00,0.00,0.00,1.00,"Sorry, I might have missed something as I was watching us.",3/15/2025 9:18pm
,32,DAB,1.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,5.00,0.00,0.00,0.00,0.00,1.00,,3/15/2025 9:18pm
,36,Jean ,1.00,0.00,0.00,0.00,2.00,1.00,2.00,3.00,2.00,1.00,1.00,0.00,0.00,1.00,,3/15/2025 9:26pm
,41,James,0.00,0.00,0.00,0.00,2.00,0.00,0.00,4.00,6.00,1.00,0.00,0.00,0.00,1.00,Really good,3/15/2025 9:27pm
,2,jeanette,0.00,0.00,0.00,0.00,2.00,6.00,1.00,2.00,3.00,0.00,0.00,0.00,0.00,1.00,Can't pick from the floor. Very fast,3/15/2025 9:20pm
,8,Zander,1.00,0.00,0.00,0.00,3.00,0.00,0.00,4.00,6.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:28pm
,14,jeanette,0.00,0.00,0.00,0.00,3.00,4.00,4.00,4.00,2.00,0.00,0.00,0.00,0.00,1.00,"Can pick from the floor. Can not do algae, does good with coral",3/15/2025 9:20pm
,20,Bailey,1.00,0.00,0.00,1.00,0.00,5.00,4.00,2.00,2.00,0.00,0.00,0.00,1.00,0.00,,3/15/2025 9:18pm
,20,Jean,1.00,0.00,0.00,0.00,2.00,5.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,1.00,"Fast climb
",3/15/2025 9:22pm
,24,Joyce,1.00,1.00,0.00,0.00,1.00,1.00,4.00,4.00,2.00,0.00,0.00,0.00,0.00,1.00,Can dislodge algae. Uses coral to dislodge algae. Can score all levels of coral on reef. Can't pick from the floor. ,3/15/2025 9:24pm
,29,Joyce,1.00,0.00,0.00,0.00,3.00,4.00,1.00,3.00,2.00,0.00,0.00,0.00,0.00,1.00,Would be good pick! scores many coral at a fast rate.,3/15/2025 9:24pm
,32,terri,1.00,0.00,0.00,0.00,2.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,3/15/2025 9:26pm
,32,joke,0.00,0.00,0.00,0.00,3.00,2.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,may not be right,3/15/2025 9:28pm
,36,Amber,1.00,0.00,0.00,0.00,2.00,4.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,,3/15/2025 9:24pm
,44,DAB,1.00,0.00,0.00,0.00,1.00,0.00,5.00,1.00,3.00,0.00,0.00,0.00,0.00,1.00,,3/15/2025 9:19pm
,4,Zander,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:28pm
,9,DAB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:22pm
,13,keith,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:26pm
,19,Zander,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,0.00,1.00,0.00,0.00,,3/15/2025 9:28pm
,23,Joyce,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"Can't pick from the floor. Intake issue, struggled with dropping piece once collected.",3/15/2025 9:24pm
,29,scott,1.00,0.00,0.00,0.00,0.00,1.00,2.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:20pm
,32,Zander,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,3.00,1.00,0.00,0.00,0.00,1.00,,3/15/2025 9:28pm
,39,jeanette,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,1.00,Can dislodge algae. Can do the processor. had a hard time getting up but made it. just barely,3/15/2025 9:21pm
,3,keith,1.00,0.00,0.00,0.00,0.00,1.00,4.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:26pm
,7,DAB,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,Missed a lot.,3/15/2025 9:22pm
,13,james,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Can dislodge algae.  only,3/15/2025 9:24pm
,20,jeanette,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,Can not pick from the floor. Can not dislodge algae. hard to line up the coral to drop.,3/15/2025 9:20pm
,25,Zander,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,Got a coral stuck inside. tried to grab another after and got a penalty,3/15/2025 9:28pm
,30,jeanette,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,Can't pick from the floor. Can dislodge algae. Fast but can not score well and did not even try to hang,3/15/2025 9:20pm
,33,Amber,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,May have malfunction unable to score ,3/15/2025 9:24pm
,33,James,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,3/15/2025 9:28pm
,36,Ian,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,"Had issues before the match started; 10 minute or so delay while on the field, waiting for the issue (which likely related to radio connectivity) to be fixex. Rotated, but nothing else during auto. Struggled with level four coral. Did not climb.",3/15/2025 9:22pm
,41,DAB,1.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:18pm
,4,DAB,1.00,0.00,0.00,0.00,3.00,0.00,2.00,6.00,6.00,0.00,3.00,0.00,0.00,1.00,Great scorer. scored top 3 levels and algae.,3/15/2025 9:22pm
,8,scott,1.00,0.00,0.00,0.00,3.00,0.00,0.00,3.00,9.00,0.00,0.00,0.00,0.00,1.00,Great!,3/15/2025 9:20pm
,11,DAB,1.00,0.00,0.00,0.00,3.00,0.00,4.00,2.00,5.00,0.00,1.00,0.00,0.00,1.00,,3/15/2025 9:22pm
,16,Zander,1.00,0.00,0.00,0.00,3.00,0.00,0.00,4.00,8.00,2.00,1.00,0.00,0.00,1.00,,3/15/2025 9:28pm
,30,terri,1.00,0.00,0.00,0.00,3.00,0.00,0.00,1.00,7.00,0.00,3.00,0.00,0.00,1.00,,3/15/2025 9:31pm
,33,terri,1.00,0.00,0.00,0.00,2.00,0.00,3.00,1.00,4.00,0.00,3.00,0.00,0.00,1.00,,3/15/2025 9:26pm
,39,DAB,1.00,0.00,0.00,0.00,0.00,0.00,6.00,5.00,3.00,0.00,0.00,0.00,0.00,1.00,Great bot,3/15/2025 9:18pm
,42,DAB,1.00,0.00,0.00,0.00,3.00,0.00,2.00,2.00,6.00,0.00,3.00,0.00,0.00,1.00,,3/15/2025 9:18pm
,5,Terri,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,,3/15/2025 9:18pm
,10,Terri,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Focused on algae,3/15/2025 9:18pm
,15,jeanette,1.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,Can't pick from the floor. Can dislodge algae. ,3/15/2025 9:20pm
,20,keith,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"Kept missing level 4 when tried, 2x
didn't do anything else ",3/15/2025 9:26pm
,24,DAB,1.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,3.00,0.00,1.00,0.00,0.00,Lower level scorer.,3/15/2025 9:18pm
,24,Jean,0.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,0.00,2.00,0.00,1.00,0.00,0.00,Drivers are not confident on scoring coral - so they are slow.,3/15/2025 9:22pm
,29,terri,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,"Did not move until teleop. then only tossed 2 algae in barge.
did not park",3/15/2025 9:26pm
,35,Amber,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,3/15/2025 9:24pm
,38,Ian,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,2.00,0.00,1.00,0.00,0.00,Can score algae. ,3/15/2025 9:22pm
,41,Zander,1.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:28pm
,5,Zander,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Straight to defense. not bad at it,3/15/2025 9:28pm
,8,DAB,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Played defense.,3/15/2025 9:22pm
,13,scott,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Wiggled but no driving,3/15/2025 9:20pm
,18,keith,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Was on def all game,3/15/2025 9:26pm
,23,terri,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Never moved. ,3/15/2025 9:26pm
,34,terri,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No show,3/15/2025 9:26pm
,38,DAB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Played defense. died on the way to parking.,3/15/2025 9:18pm
,42,James,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Never moved. Never moved. ,3/15/2025 9:27pm
,1,Terri,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DON'T PICK!  had lots of driving issues. ,3/15/2025 9:18pm
,9,james,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Never moved. Never moved. ,3/15/2025 9:24pm
,14,DAB,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Defense bot.,3/15/2025 9:22pm
,19,Joyce,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Never moved. ,3/15/2025 9:24pm
,24,jeanette,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Defence.,3/15/2025 9:20pm
,28,terri,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Played defense whole match,3/15/2025 9:26pm
,33,jeanette,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defence and on one side never got to hang,3/15/2025 9:20pm
,33,Ian,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Only slightly drifted in auto with no scoring. Played defense and scored no points in teleop. Tipped onto the side of the stadium by slipping on an algae with about 30 seconds left of the match.,3/15/2025 9:22pm
,36,DAB,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Played defense.,3/15/2025 9:18pm
,42,Zander,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Straight to defense,3/15/2025 9:28pm
,4,scott,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,Slow algae pickup. No coral handling. No climb mechanism. missed three processor. Missed one barge,3/15/2025 9:20pm
,7,Terri,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Removed all algae. did not park,3/15/2025 9:18pm
,12,scott,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00,1.00,0.00,0.00,No coral or climb mech. good algae but little slow,3/15/2025 9:20pm
,16,james,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,Only balls,3/15/2025 9:24pm
,24,Zander,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,I'm not sure if they can do coral. they seemed to be going out of their way to get algae. maybe just a strategy?,3/15/2025 9:28pm
,34,scott,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,0.00,0.00,,3/15/2025 9:18pm
,38,James,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Defense,3/15/2025 9:27pm
,3,Zander,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,didn't move more than 2 feet the whole match,3/15/2025 9:28pm
,6,scott,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Broke down. Leave but then never moved.,3/15/2025 9:20pm
,13,Jean,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"leaves line very slowly

barely moved at all. DON'T PICK! ",3/15/2025 9:18pm
,17,keith,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Kinda just sat next to the opponents coral station without actually blocking anything,3/15/2025 9:26pm
,22,Joyce,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:24pm
,29,DAB,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,stopped moving. suddenly turned on and played defense.,3/15/2025 9:18pm
,34,jeanette,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Defence,3/15/2025 9:20pm
,40,Zander,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Defense,3/15/2025 9:28pm
,43,James,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:27pm
,2,james,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,Can pick from the floor. ,3/15/2025 9:24pm
,7,scott,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,Dropped coral a lot,3/15/2025 9:20pm
,11,Jean,0.00,0.00,0.00,0.00,0.00,4.00,1.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,picks coral up from floor,3/15/2025 9:18pm
,19,Bailey,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:18pm
,23,Zander,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:28pm
,28,Joyce,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:24pm
,31,jeanette,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,Can pick from the floor. not bad just did not hang,3/15/2025 9:20pm
,37,Jean ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,Tie,3/15/2025 9:26pm
,44,jeanette,1.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,4.00,0.00,0.00,1.00,0.00,0.00,They have a good arm for the levels,3/15/2025 9:21pm
,4,keith,0.00,0.00,0.00,0.00,0.00,0.00,1.00,6.00,0.00,0.00,0.00,1.00,0.00,0.00,Auto drove into the wall. Can dislodge algae. ,3/15/2025 9:26pm
,9,scott,1.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:20pm
,12,DAB,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,4.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:22pm
,23,DAB,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,Wrong side auto.  missed 2-3 level 4 corals.,3/15/2025 9:18pm
,23,Jean,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,"Went backwards during autonomous -has done this before.

Fought with blue defender (for too long) for access to human player instead of going to the other side for coral.  

I don't recommend this robot.",3/15/2025 9:22pm
,30,Joyce,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Went backwards passed cage zone.,3/15/2025 9:34pm
,33,DAB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:18pm
,37,jeanette,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,2.00,0.00,0.00,1.00,0.00,0.00,Can dislodge algae. ,3/15/2025 9:20pm
,3,james,1.00,1.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,Can pick from the floor.  only the floor and first level,3/15/2025 9:24pm
,7,Zander,1.00,1.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Can dislodge algae. Can pick up coral from the floor. Tried to climb but didn't secure the mechanism in time,3/15/2025 9:28pm
,11,keith,1.00,1.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Can dislodge algae. Coral floor to l1 only.,3/15/2025 9:26pm
,18,james,1.00,1.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:24pm
,24,terri,1.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:26pm
,30,Zander,1.00,1.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,excellent at level 1 coral,3/15/2025 9:28pm
,35,Ian,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,"Can pick algae from the floor. Only level one for coral. In auto, a coral only had to be ejected, but it did not and so did not score level one in auto.",3/15/2025 9:22pm
,40,jeanette,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Died after auto leave,3/15/2025 9:21pm
,3,Terri,1.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Really good rookie robot. can place coral level 1 really well,3/15/2025 9:18pm
,10,keith,1.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:26pm
,13,DAB,1.00,1.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Scored only on first level.,3/15/2025 9:22pm
,16,jeanette,1.00,1.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Can't pick from the floor. Can not go higher then coral 1. ,3/15/2025 9:20pm
,31,DAB,1.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:18pm
,39,Zander,1.00,1.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:28pm
,44,scott,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,1.00,0.00,0.00,,3/15/2025 9:27pm
,3,jeanette,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Removed from field, inoperative.",3/15/2025 9:20pm
,6,james,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Defend can't do Anything but defend,3/15/2025 9:24pm
,12,Jean,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"moved away from line during auto.

had a difficult time placing coral. only successful one out of three times.

blocked by opponent after that so went and parked",3/15/2025 9:18pm
,19,keith,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lost comms all match after auto,3/15/2025 9:26pm
,27,DAB,1.00,0.00,0.00,0.00,0.00,3.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:18pm
,27,Jean,1.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:22pm
,31,Zander,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Idk what they were doing. looked like they were playing defense on their own human player station  ,3/15/2025 9:28pm
,36,jeanette,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Broke down. ,3/15/2025 9:20pm
,45,Ian,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,3/15/2025 9:22pm